user_id,age_range,gender,state,city,phone_price_range,phone_model,language,request_id,id_md5,timestamp,device_type,network_type,has_request
U_462886,,MALE,UP,Delhi,high,iPhone15,Telugu,REQ_000077,a22e60eb4533b9aae181f831efddab2d,47:41.5,Tablet,5G,1
U_15313,25-34,f,ka,,high,Pixel8,Telugu,REQ_000078,5f4e9a55ffdafc51b2596d46d4205e56,16:09.5,Tablet,5G,1
U_150360,,FEMALE,DL,Bangalore,low,iPhone15,English,REQ_000079,987b4866843dd36511579e2e0a2b2758,03:25.5,,5G,1
U_143520,,m,,Chennai,,SamsungS23,English,REQ_000080,47772c2eb84e62a33e19786bdf95bb3f,16:46.5,Mobile,4G,1
U_169619,25-34,MALE,ka,Delhi,mid,iPhone15,Telugu,REQ_000081,d1a4c0cf86cdea7f5088908d757322db,15:28.5,,4G,1
U_351211,,f,DL,Mumbai,,Pixel8,Hindi,REQ_000082,ab2e477c8b411adf07815c87c68d603c,38:57.5,,4G,1
U_305767,35-44,m,DL,Lucknow,,RedmiNote,Tamil,REQ_000083,3d11962e171dc6e6529dd850453b63a7,13:01.5,Tablet,5G,1
U_351870,18-24,,KA,Mumbai,low,RedmiNote,Hindi,REQ_000084,4064c3d85f1c7e8fb50821687e1baa16,29:29.5,Tablet,WiFi,1
U_497178,35-44,MALE,DL,Mumbai,high,RedmiNote,Hindi,REQ_000085,abbdc5f93ecab52071f14bb4f3495768,50:55.5,Tablet,4G,1
U_407329,18-24,m,MH,Mumbai,high,iPhone15,Hindi,REQ_000086,c1c22327990a98948a7954d4f83987c4,36:53.5,,4G,1
U_107346,45-54,m,UP,Lucknow,high,iPhone15,Telugu,REQ_000087,48bdbe76d08b219cff4d03849518bb14,41:36.5,Tablet,5G,1
U_87170,25-34,m,,Lucknow,high,SamsungS23,Telugu,REQ_000088,996957f7b59186c8fb863990d1ecd3ce,55:45.5,Tablet,5G,1
U_498354,25-34,f,TN,Chennai,high,RedmiNote,Tamil,REQ_000089,647879fdecc6f909b1fff0621af4c925,50:07.5,Mobile,4G,1
U_91485,45-54,FEMALE,MH,,high,Pixel8,English,REQ_000090,1f5da2bc9f10a4ba807b1f3bcfee9d59,06:36.5,Tablet,4G,1
U_236075,below_18,FEMALE,UP,,low,Pixel8,Hindi,REQ_000091,5be41f82d34b94f86bf4a799339fb6a1,40:05.5,Tablet,5G,1
U_427455,18-24,FEMALE,DL,Lucknow,high,SamsungS23,Hindi,REQ_000092,78a851df7d4661e97cb877d357bdeaf6,26:52.5,,5G,1
U_132647,35-44,m,MH,Delhi,mid,iPhone15,Hindi,REQ_000093,8feb49442d2c4f9a2f0d070e70511e07,46:13.5,Mobile,WiFi,1
U_437950,45-54,FEMALE,UP,,,RedmiNote,English,REQ_000094,bbab759e6373ea1fdd60d4aa277d64bf,42:34.5,Tablet,5G,1
U_470138,55+,,MH,Mumbai,low,SamsungS23,English,REQ_000095,d0e201f4bc369b54b05196fdf045901a,48:13.5,,5G,1
U_449115,25-34,f,KA,Mumbai,mid,SamsungS23,Telugu,REQ_000096,d1c98644c354dca8f647d74bf4ac0384,20:49.5,,4G,1
U_365660,18-24,m,MH,,mid,Pixel8,English,REQ_000097,2878cda79eebd104c41a6c06ac1bb7bb,45:49.5,,4G,1
U_249980,,FEMALE,TN,,mid,Pixel8,English,REQ_000098,08d3f9816ae9db82c4671a2e7b737299,21:00.5,Tablet,4G,1
U_242082,55+,f,MH,Mumbai,,iPhone15,Tamil,REQ_000099,b99f98355cc05ff59cb55f24d9b07ac1,38:09.5,,5G,1
U_31794,,m,TN,Chennai,,SamsungS23,English,REQ_000100,a415ef72d57059dcb6b3bbf9db3e207f,14:46.5,Mobile,5G,1
U_419863,,,UP,,mid,iPhone15,Telugu,REQ_000101,b24aa1eb0af3afd3ab879506cc7f7b79,42:03.5,Mobile,4G,1
U_39243,,FEMALE,ka,Chennai,low,SamsungS23,Tamil,REQ_000102,299f9ac461d18133c22412bb7608b97a,47:29.5,,5G,1
U_273898,45-54,FEMALE,DL,Delhi,high,RedmiNote,Telugu,REQ_000103,cafa7d885dfd9183e28b5149c87d3432,52:37.5,Mobile,5G,1
U_434359,35-44,FEMALE,ka,,high,SamsungS23,Tamil,REQ_000104,cc18bd8f2a6eab1c0b9c0a85c8dc6ed9,14:20.5,Mobile,5G,1
U_233181,18-24,MALE,UP,Delhi,mid,SamsungS23,Tamil,REQ_000105,aa1958dc43fd6e1ac266701f4ead0562,38:06.5,Tablet,5G,1
U_17690,55+,f,KA,,low,RedmiNote,Telugu,REQ_000106,a75f9ad0f9c1514a1c6965c4f951757b,22:47.5,,4G,1
U_85870,below_18,f,TN,Lucknow,low,SamsungS23,Telugu,REQ_000107,6daba4856d715aefca143217b6a821b3,23:49.5,Tablet,4G,1
U_343222,25-34,f,KA,Delhi,low,RedmiNote,English,REQ_000108,e98190aae8509b63736ec440ecdc83aa,05:28.5,Mobile,5G,1
U_420183,,m,TN,Bangalore,high,RedmiNote,Hindi,REQ_000109,21ac53b7b0748e9d61aa04ea7eb6ec02,26:11.5,Tablet,4G,1
U_81165,below_18,,UP,Chennai,high,Pixel8,Tamil,REQ_000110,b70b48a583fa38c18bd406209636a469,58:19.5,Tablet,5G,1
U_487358,35-44,f,TN,Bangalore,mid,iPhone15,English,REQ_000111,3d38f814197968a04d190fd5474f7e3e,04:11.5,,5G,1
U_382431,18-24,m,KA,Chennai,high,Pixel8,Telugu,REQ_000112,6ed13d9a99803837f2833f6b2f115ac4,50:05.5,Tablet,4G,1
U_181173,45-54,,MH,,,iPhone15,Hindi,REQ_000113,0b5643dc8e12c213de93180e90a57392,19:46.5,,4G,1
U_339529,55+,FEMALE,UP,Mumbai,low,SamsungS23,Tamil,REQ_000114,099cb6119e8e9706867d92704a44edcf,12:22.5,Mobile,5G,1
U_07720,45-54,m,,Delhi,high,Pixel8,English,REQ_000115,650c2901904261e09b9dd4e114a29a87,17:09.5,Mobile,WiFi,1
U_152285,35-44,m,,Mumbai,mid,iPhone15,Hindi,REQ_000116,17111a7501b0450cf0af6ecd9b473030,49:13.5,,4G,1
U_153717,25-34,,DL,Delhi,mid,SamsungS23,Hindi,REQ_000117,9cb5e99b2504cbf98bbdce06d499f5da,09:00.5,,WiFi,1
U_42831,35-44,m,ka,Mumbai,,RedmiNote,Telugu,REQ_000118,635758e6531d9a48c8dab6a1102f9513,35:21.5,,4G,1
U_488822,55+,,KA,Lucknow,high,iPhone15,Telugu,REQ_000119,2ff0f1c125c624eaf507713c3f181009,38:09.5,Mobile,4G,1
U_73205,35-44,m,TN,Lucknow,low,RedmiNote,Tamil,REQ_000120,ac0ca5c80abb2bc98a7590ad6cbda44a,29:41.5,Tablet,4G,1
U_189767,below_18,MALE,DL,Bangalore,mid,SamsungS23,Tamil,REQ_000121,c009d5a27b67f9e99618a0d7cf9796cd,57:24.5,Tablet,4G,1
U_31155,,MALE,TN,Delhi,high,Pixel8,Hindi,REQ_000122,842625bc2b03db46bf487b1dcd0bb9a1,54:58.5,,WiFi,1
U_129194,45-54,m,DL,Chennai,high,RedmiNote,Telugu,REQ_000123,720d768cad105df78b1e53cf8ac687b4,12:33.5,Mobile,4G,1
U_02883,,f,DL,Lucknow,low,RedmiNote,Tamil,REQ_000124,45e0d7a4130c9651e63c84c16ccc9a10,51:11.5,,5G,1
U_347561,,FEMALE,DL,Mumbai,,SamsungS23,English,REQ_000125,8e4ecfd2ebb34afb759de7bb34d5bb49,20:02.5,Tablet,4G,1
U_454967,55+,m,KA,Lucknow,high,SamsungS23,English,REQ_000126,2d2676a787f838ad1e54ea095342d3de,40:57.5,Tablet,4G,1
U_462168,below_18,f,,Chennai,high,Pixel8,English,REQ_000127,2f36637180503b49bb0930b931f4eaba,35:38.5,,5G,1
U_431329,45-54,m,TN,,mid,SamsungS23,English,REQ_000128,bf10e32598be6dc3f749faecf7f7550f,01:02.5,,5G,1
U_436974,55+,MALE,UP,Lucknow,low,Pixel8,Tamil,REQ_000129,470b300b88512f43e98f551e6058faad,16:26.5,Tablet,WiFi,1
U_14189,,m,KA,,high,SamsungS23,Telugu,REQ_000130,0132dd24871c6c674ef76ef37d846f97,53:04.5,,5G,1
U_55389,55+,f,MH,Delhi,high,RedmiNote,Hindi,REQ_000131,61a8f8a5fd4241fd4a8617c649c3cc30,03:54.5,Tablet,4G,1
U_138857,45-54,,TN,Lucknow,low,iPhone15,English,REQ_000132,5a406a45f0662e912a0ae54b29758308,57:16.5,Tablet,4G,1
U_109579,below_18,MALE,KA,Lucknow,low,SamsungS23,Tamil,REQ_000133,41b8092119e1826a87d675fa3c1af4a2,17:10.5,Mobile,WiFi,1
U_131662,45-54,f,DL,Bangalore,mid,RedmiNote,English,REQ_000134,481bc8e1f204527bb29f6bf29a70db97,58:21.5,Mobile,4G,1
U_250875,25-34,,,Lucknow,high,iPhone15,Hindi,REQ_000135,eab8788dc26776a2689ac61c0a57c336,58:06.5,,4G,1
U_489994,below_18,,KA,Mumbai,,iPhone15,Hindi,REQ_000136,7e27c3c70782d48bc01d3184507133fe,30:18.5,Mobile,WiFi,1
U_253688,,FEMALE,ka,Delhi,low,iPhone15,Telugu,REQ_000137,a1f2166ee98062028a22593b30f82136,16:54.5,Mobile,WiFi,1
U_481040,,FEMALE,UP,Delhi,low,RedmiNote,Hindi,REQ_000138,aeacf1919682a41d053cad6e4027bf8c,48:10.5,Tablet,WiFi,1
U_167286,25-34,FEMALE,ka,Chennai,low,SamsungS23,Hindi,REQ_000139,30236ebfd6c68c405c4f9d9dd370a0c4,17:19.5,Mobile,5G,1
U_221975,35-44,m,MH,Bangalore,low,SamsungS23,English,REQ_000140,8f82cfb719a2bc491d35afe0cabb76cb,04:40.5,,5G,1
U_243786,45-54,f,,Chennai,,iPhone15,Tamil,REQ_000141,ae40a02f984311d59a12bd5936195e96,37:51.5,Mobile,WiFi,1
U_147671,below_18,FEMALE,KA,Lucknow,mid,RedmiNote,Telugu,REQ_000142,8217e9ee7f185830024b8b0115123fe3,22:33.5,,4G,1
U_310996,,,MH,Mumbai,,iPhone15,Tamil,REQ_000143,f28538d73726d6243e8da568751ba84c,51:45.5,Mobile,5G,1
U_405449,,,KA,,high,iPhone15,Telugu,REQ_000144,ca8f0c94e2e4c1c88fe6ccf7d07ae8f5,34:21.5,Tablet,5G,1
U_494379,18-24,m,DL,Chennai,low,SamsungS23,English,REQ_000145,01257f3a2ab8d5e6f1f6373ea0c6eb8e,13:25.5,Tablet,5G,1
U_168780,25-34,f,MH,Lucknow,low,iPhone15,English,REQ_000146,865eedb8fb049ed7d61214c81367e51e,35:11.5,Tablet,5G,1
U_481887,45-54,MALE,TN,Bangalore,low,iPhone15,Telugu,REQ_000147,9b4fac8ed05492dd353841680ac00053,27:09.5,Mobile,WiFi,1
U_308586,18-24,m,ka,Chennai,low,SamsungS23,Hindi,REQ_000148,97e0f5c96f8ee4b1b5e566eda5bd6987,09:35.5,Mobile,4G,1
U_326891,,f,ka,Mumbai,high,iPhone15,Hindi,REQ_000149,65702378281073b906d73675a82f932c,48:12.5,Tablet,5G,1
U_121556,45-54,m,ka,Bangalore,low,SamsungS23,English,REQ_000150,cc37333c0f17ea5a7e3c51d9b47bda73,29:48.5,Tablet,4G,1
U_235093,below_18,m,UP,Chennai,,iPhone15,Hindi,REQ_000151,2ad0428d7d6f7eab576909cbf5728f6c,08:41.5,Mobile,5G,1
U_188523,25-34,m,KA,Delhi,mid,Pixel8,Hindi,REQ_000152,f1d605b4ad643a82b58f0cfa521868af,29:43.5,Mobile,4G,1
U_439778,18-24,m,DL,Bangalore,,RedmiNote,English,REQ_000153,997019cd987ccc5b97f77c64afccfe37,43:51.5,Tablet,WiFi,1
U_100367,18-24,,MH,Chennai,,iPhone15,Tamil,REQ_000154,88f70fdf663fb6e3d1abae2be482c585,00:27.5,Mobile,5G,1
U_76247,35-44,m,UP,Delhi,high,Pixel8,Hindi,REQ_000155,60131db0d635e3c4c3d3c77b98d3233b,28:33.5,Tablet,WiFi,1
U_136679,,,DL,,high,iPhone15,Telugu,REQ_000156,098a856e0f135cbd2f3ffe63331dd23e,17:11.5,,4G,1
U_423988,18-24,f,TN,Bangalore,high,RedmiNote,Tamil,REQ_000157,9d02bf68a5d82e900eb3714fa1ab2290,49:02.5,,5G,1
U_08501,45-54,m,KA,,mid,iPhone15,Hindi,REQ_000158,47f8c059fb19d8e344387f6f822ccb2a,32:55.5,Tablet,4G,1
U_25447,35-44,FEMALE,MH,Mumbai,low,Pixel8,Tamil,REQ_000159,4c78b4b3ee23c1fb56b519bdbc659b44,55:14.5,,4G,1
U_399265,below_18,f,KA,Delhi,mid,iPhone15,Hindi,REQ_000160,0c6d5fd4ceb0fb3409e963cda399da50,50:08.5,Mobile,5G,1
U_75354,18-24,,KA,Bangalore,high,SamsungS23,Tamil,REQ_000161,2c9a126d080c8f4445c56a9f176d5b99,40:11.5,Mobile,4G,1
U_164605,35-44,MALE,ka,Delhi,high,SamsungS23,Telugu,REQ_000162,6546ad78e7812d77d37e3f8bcac0520b,34:27.5,Mobile,WiFi,1
U_167853,35-44,f,ka,Bangalore,mid,iPhone15,English,REQ_000163,c98852f18ec5868d7d70d5214297414f,23:44.5,Tablet,5G,1
U_260577,below_18,FEMALE,MH,Bangalore,low,Pixel8,English,REQ_000164,d3b700fb6c7d60aa83319f7fec9979e6,16:19.5,,WiFi,1
U_456454,,,ka,Bangalore,mid,Pixel8,Tamil,REQ_000165,e2aefd68e7fc33ce1502d4ceb1b003bd,37:38.5,Mobile,5G,1
U_181320,below_18,f,DL,Lucknow,mid,iPhone15,Tamil,REQ_000166,71a0e52d28ab90ad406b6728ef6c966b,24:10.5,Tablet,WiFi,1
U_246027,below_18,MALE,TN,Mumbai,,iPhone15,Hindi,REQ_000167,cfa7e26ed3be98abbafb65a3eddc9118,34:22.5,Mobile,WiFi,1
U_218517,45-54,FEMALE,KA,Mumbai,low,SamsungS23,Telugu,REQ_000168,88b95bb3828cc660b537d1c6d57ca6db,57:05.5,Mobile,4G,1
U_397642,25-34,f,DL,,high,RedmiNote,Hindi,REQ_000169,d5293e693db429634ad772a2679fbf2a,31:47.5,,WiFi,1
U_421117,45-54,f,MH,Mumbai,high,SamsungS23,Hindi,REQ_000170,7fdfc56e284e7c7db6e36a50f51bfd71,40:05.5,Mobile,5G,1
U_403386,35-44,FEMALE,KA,Lucknow,high,RedmiNote,Telugu,REQ_000171,18d542f5a9da0a74c640decbd0398b0f,20:11.5,Tablet,5G,1
U_17710,55+,MALE,ka,Chennai,low,SamsungS23,English,REQ_000172,aaa5c0e9b34778b6eec97317355b7c46,31:40.5,Tablet,WiFi,1
U_480208,25-34,,TN,,high,RedmiNote,English,REQ_000173,db86a4ca5f8edf5709f833313644c0a5,46:55.5,Tablet,4G,1
U_490864,45-54,FEMALE,DL,Chennai,high,iPhone15,Tamil,REQ_000174,0b6201121e77d7225b2769f23ec9b8be,00:55.5,Tablet,5G,1
U_460663,below_18,MALE,,Chennai,mid,RedmiNote,English,REQ_000175,40baff30f658fa542820ef95cff37bbb,23:38.5,Mobile,WiFi,1
U_447760,18-24,,DL,,mid,Pixel8,Telugu,REQ_000176,80be9a1ae3a3c50c010087447613e335,38:13.5,Mobile,5G,1
U_233012,18-24,f,MH,Lucknow,high,SamsungS23,Hindi,REQ_000177,245fa834f3b2289e7e42e7ec550c0704,22:42.5,Tablet,4G,1
U_187187,45-54,,MH,Chennai,,RedmiNote,English,REQ_000178,5acf5b0e012e6623ab9ed0d558be3897,38:49.5,,WiFi,1
U_341904,18-24,f,UP,Lucknow,high,Pixel8,Hindi,REQ_000179,a8a11a0902c43e5bb4a863765d33e9e2,08:52.5,Mobile,4G,1
U_356912,35-44,,,,low,SamsungS23,English,REQ_000180,a9ad09e2faaf095f43fcdd20a561e697,17:37.5,Tablet,5G,1
U_341446,55+,FEMALE,DL,Delhi,high,RedmiNote,English,REQ_000181,5e43898eebcfb18669000f550d56aa49,46:47.5,,5G,1
